sno,Influencer_ID,Influencer_Name,Platform,Influencer_Tier,Followers,Likes,Comments,Shares,Campaign_ID,Campaign_Cost,Revenue,Campaign_Type,Total_Engagement,Engagement_Rate,Calculated_ROI,CPE,Data_Status,Is_Undervalued_Influencer
839,INF0163,Influencer_163,Youtube,Nano,334478,21559,1790,755,CAM00812,314,15161,Promotion,24104,0.0721,47.2834,0.013,Verified,Yes
840,INF0095,Influencer_95,Youtube,Macro,913871,33370,1740,1318,CAM00473,74,22178,Giveaway,36428,0.0399,298.7027,0.002,Verified,Yes
841,INF0192,Influencer_192,Instagram,Mega,669875,14302,1963,581,CAM00959,2641,14486,Product Launch,16846,0.0251,4.485,0.1568,Verified,No
845,INF0141,Influencer_141,Facebook,Micro,269733,14491,978,540,CAM00701,299,10126,Product Launch,16009,0.0594,32.8662,0.0187,Verified,Yes
846,INF0163,Influencer_163,Instagram,Mega,127202,8902,552,246,CAM00814,1952,8002,Giveaway,9700,0.0763,3.0994,0.2012,Verified,No
848,INF0193,Influencer_193,Youtube,Nano,581222,40847,4507,895,CAM00961,2493,33609,Promotion,46249,0.0796,12.4813,0.0539,Verified,No
849,INF0141,Influencer_141,Instagram,Macro,26901,1799,247,46,CAM00702,2167,11245,Promotion,2092,0.0778,4.1892,1.0359,Verified,No
853,INF0164,Influencer_164,Youtube,Macro,98628,5276,566,229,CAM00816,389,4969,Giveaway,6071,0.0616,11.7738,0.0641,Verified,No
855,INF0164,Influencer_164,Facebook,Macro,43674,680,3193,22,CAM00817,3316,15205,Giveaway,3895,0.0892,3.5853,0.8513,Verified,No
856,INF0193,Influencer_193,Instagram,Macro,351036,18313,1322,904,CAM00963,2009,15814,Product Launch,20539,0.0585,6.8716,0.0978,Verified,No
857,INF0164,Influencer_164,Instagram,Macro,54051,1796,120,83,CAM00818,888,1864,Promotion,1999,0.037,1.0991,0.4442,Verified,No
858,INF0141,Influencer_141,Youtube,Micro,855741,48848,7569,1291,CAM00704,2235,42763,Promotion,57708,0.0674,18.1333,0.0387,Verified,No
863,INF0142,Influencer_142,Instagram,Macro,486610,18967,3738,352,CAM00706,634,18666,Promotion,23057,0.0474,28.4416,0.0275,Verified,Yes
864,INF0193,Influencer_193,Facebook,Macro,486610,3342,436,155,CAM00965,3815,15206,Product Launch,3933,0.0081,2.9858,0.97,Verified,No
865,INF0165,Influencer_165,Instagram,Macro,715221,40531,3521,985,CAM00821,4279,42833,Product Launch,45037,0.063,9.01,0.095,Verified,No
866,INF0194,Influencer_194,Instagram,Macro,607306,13380,2546,535,CAM00966,2715,18900,Promotion,16461,0.0271,5.9613,0.1649,Verified,No
870,INF0194,Influencer_194,Youtube,Micro,114768,9052,1714,164,CAM00968,704,10116,Giveaway,10930,0.0952,13.3693,0.0644,Verified,No
872,INF0204,Influencer_204,Instagram,Nano,962234,21687,3902,972,CAM01017,4404,29649,Promotion,26561,0.0276,5.7323,0.1658,Verified,No
873,INF0142,Influencer_142,Facebook,Mega,642480,8262,1382,161,CAM00709,4819,10027,Product Launch,9805,0.0153,1.0807,0.4915,Verified,No
877,INF0165,Influencer_165,Youtube,Mega,606151,7371,739,125,CAM00824,2081,15043,Product Launch,8235,0.0136,6.2287,0.2527,Verified,No
878,INF0204,Influencer_204,Youtube,Micro,725291,55988,2905,2003,CAM01019,1817,39166,Product Launch,60896,0.084,20.5553,0.0298,Verified,No
879,INF0194,Influencer_194,Facebook,Micro,856953,12193,1229,319,CAM00970,3731,23905,Product Launch,13741,0.016,5.4071,0.2715,Verified,No
880,INF0165,Influencer_165,Facebook,Nano,256493,19385,1886,498,CAM00825,3390,17798,Giveaway,21769,0.0849,4.2501,0.1557,Verified,No
881,INF0142,Influencer_142,Youtube,Micro,133659,1664,213,31,CAM00710,1686,6714,Promotion,1908,0.0143,2.9822,0.8836,Verified,No
882,INF0204,Influencer_204,Facebook,Nano,576312,42151,2169,1111,CAM01020,4965,32966,Promotion,45431,0.0788,5.6397,0.1093,Verified,No
883,INF0195,Influencer_195,Instagram,Nano,880554,59555,10575,2360,CAM00971,3184,61316,Product Launch,72490,0.0823,18.2575,0.0439,Verified,No
884,INF0166,Influencer_166,Facebook,Mega,832635,21742,3688,806,CAM00826,2088,20114,Product Launch,26236,0.0315,8.6331,0.0796,Verified,No
885,INF0143,Influencer_143,Facebook,Micro,742184,16632,2549,763,CAM00711,1282,14747,Promotion,19944,0.0269,10.5031,0.0643,Verified,No
886,INF0205,Influencer_205,Instagram,Micro,95202,7517,718,319,CAM01021,276,6625,Product Launch,8554,0.0899,23.0036,0.0323,Verified,Yes
887,INF0166,Influencer_166,Youtube,Mega,857238,79739,4856,1692,CAM00827,1834,56797,Promotion,86287,0.1007,29.9689,0.0213,Verified,Yes
889,INF0205,Influencer_205,Facebook,Nano,85363,6439,991,318,CAM01022,1882,7167,Promotion,7748,0.0908,2.8082,0.2429,Verified,No
891,INF0143,Influencer_143,Youtube,Micro,129652,2284,274,66,CAM00713,2871,10428,Product Launch,2624,0.0202,2.6322,1.0941,Verified,No
892,INF0195,Influencer_195,Youtube,Nano,815107,24901,1463,547,CAM00973,2843,21885,Promotion,26911,0.033,6.6979,0.1056,Verified,No
898,INF0143,Influencer_143,Instagram,Macro,272604,7737,406,287,CAM00715,456,6370,Product Launch,8430,0.0309,12.9693,0.0541,Verified,No
899,INF0167,Influencer_167,Youtube,Nano,670211,55208,9935,683,CAM00831,176,44289,Product Launch,65826,0.0982,250.642,0.0027,Verified,Yes
900,INF0144,Influencer_144,Youtube,Micro,809985,76413,7394,1527,CAM00716,2668,61566,Product Launch,85334,0.1054,22.0757,0.0313,Verified,No
901,INF0167,Influencer_167,Instagram,Micro,20023,1417,202,46,CAM00832,4129,17454,Product Launch,1665,0.0832,3.2272,2.4799,Verified,No
902,INF0144,Influencer_144,Instagram,Mega,875641,34929,6609,1529,CAM00717,3000,37574,Promotion,43067,0.0492,11.5247,0.0697,Verified,No
906,INF0205,Influencer_205,Youtube,Macro,33940,345,30,10,CAM01024,1967,9089,Giveaway,385,0.0113,3.6207,5.1091,Verified,No
907,INF0195,Influencer_195,Facebook,Micro,566158,6510,656,272,CAM00975,3253,16672,Promotion,7438,0.0131,4.1251,0.4373,Verified,No
910,INF0196,Influencer_196,Instagram,Nano,374704,23485,2077,1112,CAM00976,3865,30516,Product Launch,26674,0.0712,6.8955,0.1449,Verified,No
912,INF0206,Influencer_206,Instagram,Macro,251694,9232,1748,138,CAM01026,2629,12647,Giveaway,11118,0.0442,3.8106,0.2365,Verified,No
913,INF0196,Influencer_196,Youtube,Micro,305094,16998,2763,381,CAM00977,4072,32115,Product Launch,20142,0.066,6.8868,0.2022,Verified,No
914,INF0167,Influencer_167,Facebook,Macro,181074,8629,894,291,CAM00835,3584,10633,Giveaway,9814,0.0542,1.9668,0.3652,Verified,No
916,INF0168,Influencer_168,Instagram,Micro,259360,7234,703,137,CAM00836,3209,17268,Giveaway,8074,0.0311,4.3811,0.3974,Verified,No
920,INF0168,Influencer_168,Facebook,Nano,226959,7468,903,87,CAM00837,2444,9356,Promotion,8458,0.0373,2.8282,0.289,Verified,No
923,INF0145,Influencer_145,Instagram,Nano,372852,21569,3470,455,CAM00721,4608,26421,Giveaway,25494,0.0684,4.7337,0.1807,Verified,No
926,INF0145,Influencer_145,Youtube,Micro,594731,35725,1942,1653,CAM00722,4574,30898,Promotion,39320,0.0661,5.7551,0.1163,Verified,No
927,INF0207,Influencer_207,Facebook,Nano,77425,2621,300,130,CAM01031,2493,2188,Giveaway,3051,0.0394,-0.1223,0.8171,Verified,No
929,INF0145,Influencer_145,Facebook,Micro,901959,80400,10737,1548,CAM00723,4937,83390,Product Launch,92685,0.1028,15.8908,0.0533,Verified,No
930,INF0207,Influencer_207,Instagram,Nano,280349,17564,2165,543,CAM01032,1982,18274,Giveaway,20272,0.0723,8.22,0.0978,Verified,No
931,INF0197,Influencer_197,Facebook,Micro,831547,31960,2428,378,CAM00981,2048,16256,Giveaway,34766,0.0418,6.9375,0.0589,Verified,No
932,INF0168,Influencer_168,Youtube,Micro,517307,30023,2930,1395,CAM00839,1677,27557,Product Launch,34348,0.0664,15.4323,0.0488,Verified,No
941,INF0146,Influencer_146,Youtube,Mega,360281,25568,2921,1003,CAM00726,4316,38684,Promotion,29492,0.0819,7.9629,0.1463,Verified,No
942,INF0208,Influencer_208,Youtube,Micro,853318,52475,9962,2326,CAM01036,1067,48003,Giveaway,64763,0.0759,43.9888,0.0165,Verified,Yes
943,INF0197,Influencer_197,Youtube,Macro,998057,40792,8085,1199,CAM00984,4094,37935,Product Launch,50076,0.0502,8.266,0.0818,Verified,No
944,INF0208,Influencer_208,Facebook,Micro,489195,25320,4262,863,CAM01037,1943,27842,Product Launch,30445,0.0622,13.3294,0.0638,Verified,No
945,INF0146,Influencer_146,Facebook,Nano,413310,35116,4601,1537,CAM00727,2591,30083,Product Launch,41254,0.0998,10.6106,0.0628,Verified,No
951,INF0198,Influencer_198,Youtube,Micro,583848,43695,4031,759,CAM00986,4194,31921,Giveaway,48485,0.083,6.6111,0.0865,Verified,No
953,INF0146,Influencer_146,Instagram,Macro,512081,5414,1065,263,CAM00730,1525,7198,Giveaway,6742,0.0132,3.72,0.2262,Verified,No
954,INF0198,Influencer_198,Instagram,Macro,308268,3622,283,96,CAM00987,3417,10722,Giveaway,4001,0.013,2.1378,0.854,Verified,No
955,INF0209,Influencer_209,Facebook,Macro,939193,14821,2058,637,CAM01041,2874,18729,Product Launch,17516,0.0187,5.5167,0.1641,Verified,No
956,INF0147,Influencer_147,Youtube,Nano,829370,34105,5138,1439,CAM00731,1266,30550,Giveaway,40682,0.0491,23.1311,0.0311,Verified,Yes
957,INF0198,Influencer_198,Facebook,Nano,31270,1129,151,16,CAM00988,495,2034,Product Launch,1296,0.0414,3.1091,0.3819,Verified,No
958,INF0209,Influencer_209,Youtube,Mega,133283,10740,2062,225,CAM01042,551,11498,Product Launch,13027,0.0977,19.8675,0.0423,Verified,No
961,INF0147,Influencer_147,Instagram,Micro,408407,26849,3172,1106,CAM00732,2492,27929,Giveaway,31127,0.0762,10.2075,0.0801,Verified,No
963,INF0209,Influencer_209,Instagram,Nano,146364,10187,1602,211,CAM01044,1657,11304,Giveaway,12000,0.082,5.822,0.1381,Verified,No
965,INF0210,Influencer_210,Instagram,Micro,591348,29811,3544,389,CAM01046,487,22857,Product Launch,33744,0.0571,45.9343,0.0144,Verified,Yes
967,INF0169,Influencer_169,Facebook,Macro,1901,23,3,1,CAM00841,1428,1123,Giveaway,27,0.0142,-0.2136,52.8889,Verified,No
968,INF0199,Influencer_199,Youtube,Nano,808827,47929,8798,982,CAM00991,1862,44914,Giveaway,57709,0.0713,23.1214,0.0323,Verified,Yes
970,INF0210,Influencer_210,Facebook,Nano,144988,10214,1022,206,CAM01048,2032,8296,Promotion,11442,0.0789,3.0827,0.1776,Verified,No
971,INF0199,Influencer_199,Instagram,Micro,342701,32794,5691,1257,CAM00992,1460,33568,Product Launch,39742,0.116,21.9918,0.0367,Verified,Yes
972,INF0169,Influencer_169,Instagram,Micro,23499,817,101,12,CAM00843,3603,16826,Promotion,930,0.0396,3.67,3.8742,Verified,No
976,INF0210,Influencer_210,Youtube,Macro,192758,13790,2247,539,CAM01050,3925,16630,Product Launch,16576,0.086,3.2369,0.2368,Verified,No
978,INF0211,Influencer_211,Youtube,Nano,716637,33039,6349,854,CAM01051,897,30320,Product Launch,40242,0.0562,32.8016,0.0223,Verified,Yes
979,INF0199,Influencer_199,Facebook,Nano,737854,60117,8643,2855,CAM00995,553,49236,Giveaway,71615,0.0971,88.0344,0.0077,Verified,Yes
980,INF0169,Influencer_169,Youtube,Mega,521082,12931,997,538,CAM00845,394,10218,Giveaway,14466,0.0278,24.934,0.0272,Verified,Yes
982,INF0170,Influencer_170,Youtube,Nano,434797,27422,1648,1186,CAM00846,1564,19954,Promotion,30256,0.0696,11.7583,0.0517,Verified,No
983,INF0211,Influencer_211,Facebook,Macro,185535,17995,2089,367,CAM01053,3341,25294,Giveaway,20451,0.1102,6.5708,0.1634,Verified,No
984,INF0200,Influencer_200,Youtube,Micro,304806,19787,3786,821,CAM00996,4428,24562,Giveaway,24394,0.08,4.547,0.1815,Verified,No
985,INF0211,Influencer_211,Instagram,Micro,747716,52916,4279,1275,CAM01054,332,36629,Promotion,58470,0.0782,109.3283,0.0057,Verified,Yes
986,INF0170,Influencer_170,Facebook,Nano,853969,67925,10680,2252,CAM00847,2697,60693,Product Launch,80857,0.0947,21.5039,0.0334,Verified,No
989,INF0170,Influencer_170,Instagram,Macro,424240,27336,2955,1217,CAM00848,2718,31661,Promotion,31508,0.0743,10.6486,0.0863,Verified,No
990,INF0212,Influencer_212,Instagram,Macro,486610,30903,4336,707,CAM01056,614,25835,Giveaway,35946,0.0739,41.0765,0.0171,Verified,Yes
993,INF0212,Influencer_212,Facebook,Macro,654817,30951,7792,1678,CAM01057,2501,48603,Promotion,40421,0.0617,18.4334,0.0619,Verified,No
994,INF0200,Influencer_200,Instagram,Macro,181427,15611,918,325,CAM00999,1737,16133,Promotion,16854,0.0929,8.2879,0.1031,Verified,No
1000,INF0201,Influencer_201,Youtube,Micro,225866,2536,467,28,CAM01001,3386,15629,Giveaway,3031,0.0134,3.6158,1.1171,Verified,No
1002,INF0171,Influencer_171,Youtube,Micro,489455,33020,3234,405,CAM00851,1190,22770,Giveaway,36659,0.0749,18.1345,0.0325,Verified,No
1006,INF0148,Influencer_148,Instagram,Micro,636254,52457,3035,859,CAM00736,2145,35145,Giveaway,56351,0.0886,15.3846,0.0381,Verified,No
1007,INF0213,Influencer_213,Youtube,Micro,560119,43596,3836,1996,CAM01061,1344,36349,Giveaway,49428,0.0882,26.0454,0.0272,Verified,Yes
1008,INF0171,Influencer_171,Instagram,Nano,451043,35282,5786,793,CAM00853,621,28802,Giveaway,41861,0.0928,45.38,0.0148,Verified,Yes
1011,INF0201,Influencer_201,Instagram,Micro,20156,608,76,12,CAM01003,1900,2977,Giveaway,696,0.0345,0.5668,2.7299,Verified,No
1013,INF0148,Influencer_148,Youtube,Micro,732234,22808,3980,1093,CAM00737,3000,22888,Giveaway,27881,0.0381,6.6293,0.1076,Verified,No
1015,INF0213,Influencer_213,Facebook,Nano,363544,32945,2158,1194,CAM01064,2552,25935,Giveaway,36297,0.0998,9.1626,0.0703,Verified,No
1019,INF0213,Influencer_213,Instagram,Micro,62715,3183,610,118,CAM01065,3122,10893,Giveaway,3911,0.0624,2.4891,0.7983,Verified,No
1020,INF0214,Influencer_214,Youtube,Macro,104535,8744,877,288,CAM01066,1665,10264,Giveaway,9909,0.0948,5.1646,0.168,Verified,No
1021,INF0214,Influencer_214,Instagram,Macro,723496,14216,1613,399,CAM01067,1182,11965,Product Launch,16228,0.0224,9.1227,0.0728,Verified,No
1022,INF0148,Influencer_148,Facebook,Micro,310509,24947,2421,496,CAM00740,2395,24635,Promotion,27864,0.0897,9.286,0.086,Verified,No
1023,INF0172,Influencer_172,Youtube,Nano,523904,39626,5399,724,CAM00856,1655,32919,Giveaway,45749,0.0873,18.8906,0.0362,Verified,No
1025,INF0149,Influencer_149,Youtube,Micro,960820,58570,2983,730,CAM00741,2380,42472,Giveaway,62283,0.0648,16.8454,0.0382,Verified,No
1026,INF0214,Influencer_214,Facebook,Macro,715261,21919,1813,267,CAM01069,1632,16983,Product Launch,23999,0.0336,9.4063,0.068,Verified,No
1028,INF0149,Influencer_149,Instagram,Macro,998447,91239,9690,2919,CAM00742,2109,70942,Giveaway,103848,0.104,32.6377,0.0203,Verified,Yes
1030,INF0172,Influencer_172,Facebook,Nano,919397,25629,4293,1188,CAM00858,2421,31502,Giveaway,31110,0.0338,12.012,0.0778,Verified,No
1032,INF0215,Influencer_215,Facebook,Nano,21655,1530,301,75,CAM01071,2968,4610,Promotion,1906,0.088,0.5532,1.5572,Verified,No
1033,INF0149,Influencer_149,Facebook,Mega,539800,2409,201,45,CAM00743,3078,4348,Giveaway,2655,0.0049,0.4126,1.1593,Verified,No
1037,INF0172,Influencer_172,Instagram,Micro,770565,31232,1854,919,CAM00860,2492,38424,Product Launch,34005,0.0441,14.4189,0.0733,Verified,No
1039,INF0215,Influencer_215,Instagram,Micro,517307,30681,5862,1476,CAM01074,411,28654,Giveaway,38019,0.0735,68.7178,0.0108,Verified,Yes
1040,INF0215,Influencer_215,Youtube,Macro,653192,34401,6238,717,CAM01075,1102,31682,Product Launch,41356,0.0633,27.7495,0.0266,Verified,Yes
1041,INF0216,Influencer_216,Instagram,Micro,462261,19163,1865,798,CAM01076,3982,21333,Giveaway,21826,0.0472,4.3574,0.1824,Verified,No
1043,INF0216,Influencer_216,Facebook,Micro,964313,22322,3871,433,CAM01077,1343,24426,Giveaway,26626,0.0276,17.1876,0.0504,Verified,No
1048,INF0216,Influencer_216,Youtube,Mega,185100,3249,537,114,CAM01080,976,4658,Giveaway,3900,0.0211,3.7725,0.2503,Verified,No
1049,INF0217,Influencer_217,Facebook,Nano,665607,50647,6495,938,CAM01081,1102,41539,Product Launch,58080,0.0873,36.6942,0.019,Verified,Yes
1050,INF0202,Influencer_202,Facebook,Macro,146338,6658,1198,131,CAM01006,1328,9635,Promotion,7987,0.0546,6.2553,0.1663,Verified,No
1051,INF0217,Influencer_217,Youtube,Micro,609952,20408,1303,530,CAM01082,2492,28752,Product Launch,22241,0.0365,10.5377,0.112,Verified,No
1055,INF0231,Influencer_231,Youtube,Nano,499782,28025,3616,909,CAM01152,4757,35870,Promotion,32550,0.0651,6.5405,0.1461,Verified,No
1057,INF0217,Influencer_217,Instagram,Macro,486610,26053,3190,326,CAM01085,2452,23785,Product Launch,29569,0.0608,8.7002,0.0829,Verified,No
1058,INF0231,Influencer_231,Instagram,Nano,494377,19129,2659,352,CAM01153,2744,16989,Product Launch,22140,0.0448,5.1913,0.1239,Verified,No
1059,INF0202,Influencer_202,Instagram,Nano,407396,5968,342,151,CAM01009,1208,6118,Giveaway,6461,0.0159,4.0646,0.187,Verified,No
1060,INF0218,Influencer_218,Instagram,Micro,583314,24774,4036,743,CAM01086,1840,23840,Promotion,29553,0.0507,11.9565,0.0623,Verified,No
1062,INF0218,Influencer_218,Youtube,Nano,565790,20927,1154,740,CAM01087,860,15614,Product Launch,22821,0.0403,17.1558,0.0377,Verified,No
1066,INF0203,Influencer_203,Instagram,Nano,669779,65973,5689,2457,CAM01011,1552,53146,Product Launch,74119,0.1107,33.2436,0.0209,Verified,Yes
1067,INF0232,Influencer_232,Instagram,Micro,4285,102,8,4,CAM01156,1436,1257,Promotion,114,0.0266,-0.1247,12.5965,Verified,No
1068,INF0218,Influencer_218,Facebook,Micro,511609,11760,753,125,CAM01089,4423,14987,Product Launch,12638,0.0247,2.3884,0.35,Verified,No
1071,INF0173,Influencer_173,Facebook,Macro,561849,21645,3708,974,CAM00861,3824,36182,Promotion,26327,0.0469,8.4618,0.1453,Verified,No
1073,INF0173,Influencer_173,Youtube,Micro,952302,82993,13668,1316,CAM00862,963,69207,Promotion,97977,0.1029,70.866,0.0098,Verified,Yes
1074,INF0219,Influencer_219,Instagram,Micro,517307,41433,7364,1845,CAM01091,4918,45510,Product Launch,50642,0.0979,8.2538,0.0971,Verified,No
1075,INF0173,Influencer_173,Instagram,Nano,720132,28469,1653,1046,CAM00863,2428,25598,Promotion,31168,0.0433,9.5428,0.0779,Verified,No
1077,INF0203,Influencer_203,Youtube,Macro,823450,23869,4206,267,CAM01013,3478,27721,Product Launch,28342,0.0344,6.9704,0.1227,Verified,No
1078,INF0219,Influencer_219,Facebook,Nano,242535,5565,285,60,CAM01092,2123,8550,Promotion,5910,0.0244,3.0273,0.3592,Verified,No
1080,INF0232,Influencer_232,Youtube,Micro,763473,68703,10571,1356,CAM01159,1042,57207,Promotion,80630,0.1056,53.9012,0.0129,Verified,Yes
1083,INF0232,Influencer_232,Facebook,Nano,398597,22647,3054,240,CAM01160,4883,26771,Promotion,25941,0.0651,4.4825,0.1882,Verified,No
1085,INF0174,Influencer_174,Youtube,Macro,464930,38260,7574,1297,CAM00866,1385,37808,Promotion,47131,0.1014,26.2982,0.0294,Verified,Yes
1086,INF0233,Influencer_233,Facebook,Nano,724879,19669,2065,279,CAM01161,1535,15476,Promotion,22013,0.0304,9.0821,0.0697,Verified,No
1088,INF0219,Influencer_219,Youtube,Micro,32826,1858,94,49,CAM01093,4314,6149,Product Launch,2001,0.061,0.4254,2.1559,Verified,No
1089,INF0233,Influencer_233,Instagram,Nano,231596,13865,1056,348,CAM01163,1668,14881,Promotion,15269,0.0659,7.9215,0.1092,Verified,No
1093,INF0233,Influencer_233,Youtube,Micro,890234,68232,11158,2338,CAM01165,4961,62195,Promotion,81728,0.0918,11.5368,0.0607,Verified,No
1095,INF0234,Influencer_234,Instagram,Macro,231168,17293,1088,493,CAM01166,2216,15236,Giveaway,18874,0.0816,5.8755,0.1174,Verified,No
1096,INF0220,Influencer_220,Facebook,Mega,294132,3713,487,44,CAM01096,4163,8582,Giveaway,4244,0.0144,1.0615,0.9809,Verified,No
1098,INF0174,Influencer_174,Instagram,Macro,962570,85258,6422,1035,CAM00867,2380,65797,Giveaway,92715,0.0963,26.6458,0.0257,Verified,Yes
1099,INF0220,Influencer_220,Instagram,Nano,403205,37117,5764,1124,CAM01097,2493,34183,Promotion,44005,0.1091,12.7116,0.0567,Verified,No
1100,INF0234,Influencer_234,Youtube,Micro,472022,46809,8539,1353,CAM01168,1844,41422,Giveaway,56701,0.1201,21.4631,0.0325,Verified,Yes
1101,INF0174,Influencer_174,Facebook,Nano,787895,68088,7320,1139,CAM00868,4988,64983,Product Launch,76547,0.0972,12.0279,0.0652,Verified,No
1103,INF0258,Influencer_258,Youtube,Nano,890213,84470,16029,1543,CAM01287,2561,76209,Promotion,102042,0.1146,28.7575,0.0251,Verified,No
1105,INF0234,Influencer_234,Facebook,Nano,424915,28656,2937,1350,CAM01170,274,22600,Promotion,32943,0.0775,81.4818,0.0083,Verified,Yes
1108,INF0258,Influencer_258,Facebook,Micro,764210,39320,7278,1855,CAM01288,1343,37930,Promotion,48453,0.0634,27.2427,0.0277,Verified,Yes
1109,INF0235,Influencer_235,Instagram,Mega,804051,55274,4883,1358,CAM01171,4768,58287,Product Launch,61515,0.0765,11.2246,0.0775,Verified,No
1111,INF0258,Influencer_258,Instagram,Mega,274438,22669,1145,516,CAM01289,1487,18050,Product Launch,24330,0.0887,11.1385,0.0611,Verified,No
1113,INF0259,Influencer_259,Instagram,Macro,96696,3352,570,84,CAM01291,1935,7289,Promotion,4006,0.0414,2.7669,0.483,Verified,No
1115,INF0259,Influencer_259,Youtube,Nano,303756,4629,875,166,CAM01292,3231,8086,Promotion,5670,0.0187,1.5026,0.5698,Verified,No
1116,INF0221,Influencer_221,Youtube,Micro,927997,84336,9991,1347,CAM01101,650,61995,Promotion,95674,0.1031,94.3769,0.0068,Verified,Yes
1118,INF0221,Influencer_221,Facebook,Micro,416976,10985,1047,132,CAM01102,3173,14715,Promotion,12164,0.0292,3.6376,0.2609,Verified,No
1121,INF0221,Influencer_221,Instagram,Micro,308980,29050,5516,436,CAM01103,2228,25629,Product Launch,35002,0.1133,10.5031,0.0637,Verified,No
1123,INF0235,Influencer_235,Facebook,Micro,131466,12725,2006,632,CAM01174,1827,18794,Product Launch,15363,0.1169,9.2868,0.1189,Verified,No
1125,INF0235,Influencer_235,Youtube,Nano,382691,26973,4189,670,CAM01175,1351,26545,Giveaway,31832,0.0832,18.6484,0.0424,Verified,No
1127,INF0260,Influencer_260,Facebook,Mega,539800,24181,1676,1158,CAM01296,3198,19229,Product Launch,27015,0.05,5.0128,0.1184,Verified,No
1128,INF0236,Influencer_236,Youtube,Macro,120815,1444,208,23,CAM01176,1209,4095,Product Launch,1675,0.0139,2.3871,0.7218,Verified,No
1132,INF0222,Influencer_222,Instagram,Micro,987715,64502,3372,847,CAM01106,1366,53944,Product Launch,68721,0.0696,38.4905,0.0199,Verified,Yes
1133,INF0260,Influencer_260,Youtube,Micro,317783,4521,610,183,CAM01298,2492,5864,Giveaway,5314,0.0167,1.3531,0.4689,Verified,No
1135,INF0236,Influencer_236,Facebook,Mega,627652,38020,3694,508,CAM01179,3895,38348,Product Launch,42222,0.0673,8.8454,0.0923,Verified,No
1137,INF0222,Influencer_222,Facebook,Micro,950167,28374,3688,1414,CAM01107,3947,28287,Promotion,33476,0.0352,6.1667,0.1179,Verified,No
1139,INF0260,Influencer_260,Instagram,Macro,71658,3735,683,133,CAM01300,2274,11485,Promotion,4551,0.0635,4.0506,0.4997,Verified,No
1140,INF0222,Influencer_222,Youtube,Nano,980874,1379426,3705,1203,CAM01108,2074,42128,Promotion,1384334,1.4113,19.3124,0.0015,Suspicious,No
1141,INF0237,Influencer_237,Youtube,Nano,263512,10115,3470,453,CAM01181,738,8768,Promotion,14038,0.0533,10.8808,0.0526,Verified,No
1142,INF0261,Influencer_261,Instagram,Micro,729042,40684,3981,1983,CAM01301,3453,41983,Product Launch,46648,0.064,11.1584,0.074,Verified,No
1143,INF0237,Influencer_237,Instagram,Mega,604146,27049,2436,726,CAM01182,3839,33415,Giveaway,30211,0.05,7.7041,0.1271,Verified,No
1148,INF0223,Influencer_223,Instagram,Nano,82199,1153,165,25,CAM01111,1466,5721,Giveaway,1343,0.0163,2.9025,1.0916,Verified,No
1149,INF0237,Influencer_237,Facebook,Micro,108338,7887,711,394,CAM01185,445,6040,Promotion,8992,0.083,12.573,0.0495,Verified,No
1150,INF0223,Influencer_223,Youtube,Macro,620256,30951,2236,197,CAM01112,3112,22444,Product Launch,33384,0.0538,6.2121,0.0932,Verified,No
1151,INF0238,Influencer_238,Facebook,Nano,546786,33480,6298,1631,CAM01186,2329,40622,Promotion,41409,0.0757,16.4418,0.0562,Verified,No
1153,INF0261,Influencer_261,Facebook,Mega,235750,11307,1737,521,CAM01302,2927,16221,Promotion,13565,0.0575,4.5419,0.2158,Verified,No
1154,INF0238,Influencer_238,Instagram,Nano,400489,20938,2477,696,CAM01188,4044,29101,Product Launch,24111,0.0602,6.1961,0.1677,Verified,No
1157,INF0261,Influencer_261,Youtube,Micro,149395,7356,1193,317,CAM01304,4071,10563,Promotion,8866,0.0593,1.5947,0.4592,Verified,No
1158,INF0238,Influencer_238,Youtube,Mega,795335,73249,5962,847,CAM01190,2182,54061,Promotion,80058,0.1007,23.7759,0.0273,Verified,Yes
1160,INF0239,Influencer_239,Youtube,Nano,68300,6632,1216,225,CAM01191,717,8175,Promotion,8073,0.1182,10.4017,0.0888,Verified,No
1162,INF0262,Influencer_262,Youtube,Macro,13120,1081,113,47,CAM01306,3438,6247,Promotion,1241,0.0946,0.817,2.7703,Verified,No
1164,INF0223,Influencer_223,Facebook,Nano,219827,6493,852,316,CAM01114,2166,9057,Promotion,7661,0.0349,3.1814,0.2827,Verified,No
1165,INF0262,Influencer_262,Instagram,Nano,872061,63179,4671,2896,CAM01307,3482,53268,Product Launch,70746,0.0811,14.2981,0.0492,Verified,No
1167,INF0239,Influencer_239,Instagram,Macro,179157,4057,472,131,CAM01194,3788,10509,Product Launch,4660,0.026,1.7743,0.8129,Verified,No
1171,INF0224,Influencer_224,Instagram,Nano,561733,25822,5098,812,CAM01116,1450,22998,Product Launch,31732,0.0565,14.8607,0.0457,Verified,No
1172,INF0240,Influencer_240,Instagram,Micro,302075,29125,4341,900,CAM01196,4311,33055,Product Launch,34366,0.1138,6.6676,0.1254,Verified,No
1174,INF0240,Influencer_240,Facebook,Mega,757572,71713,4099,1727,CAM01197,3453,50130,Promotion,77539,0.1024,13.5178,0.0445,Verified,No
1175,INF0224,Influencer_224,Facebook,Macro,894544,10102,580,343,CAM01117,1462,13609,Giveaway,11025,0.0123,8.3085,0.1326,Verified,No
